,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
1066,Spring 2022,COSC,2425,1,18678,Computer Org & Architecture,Long,Kevin B,42,8,2,1,3,0,0,0,4,3.518
1090,Spring 2022,MATH,6398,10,14890,Special Problems,Ru,Min,0,0,0,0,0,1,0,0,0,0.0
1111,Spring 2022,COSC,6310,1,15449,Fundamentals of Operating Syst,Cheng,Albert M K,0,0,1,0,0,0,0,0,1,2.33
1118,Spring 2022,COSC,8698,110,20199,Doctoral Research,Gurkan,Deniz,0,0,0,0,0,1,0,0,0,0.0
1123,Spring 2022,COSC,8698,127,20216,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,1,0,0,0,0.0
1178,Spring 2022,MATH,3330,4,18808,Abstract Algebra,Kalantar,Mehrdad,8,7,1,3,1,0,0,0,7,2.933
1198,Spring 2022,MATH,3339,6,25178,Statistics for the Sciences,Kwon,Junhyeon,16,18,4,7,2,0,0,0,11,2.872
1241,Spring 2022,COSC,4354,1,16048,Software Development Practices,Subramaniam,Venkat,38,5,0,0,0,0,0,0,1,3.761
1243,Spring 2022,MATH,3364,1,16717,Intro Complex Analysis,Onofrei,Daniel T,3,5,2,1,5,0,0,0,2,2.041
1250,Spring 2022,MATH,4396,1,14866,Senior Research Project,Haynes,Alan K,1,0,0,0,0,0,0,0,0,4.0
1300,Spring 2022,COSC,8698,102,20191,Doctoral Research,Chen,Guoning,0,0,0,0,0,1,0,0,0,0.0
1346,Spring 2022,MATH,2131,2,24737,Linear Alg Labs w/MATLAB,Goligerdian,Arash,17,4,0,3,3,0,0,0,1,3.013
1394,Spring 2022,MATH,3333,2,24474,Intermediate Analysis,Labate,Demetrio,3,3,5,4,3,0,0,0,1,1.908
1427,Spring 2022,COSC,7336,1,25887,Advanced NLP,Verma,Rakesh M,4,8,0,0,0,0,0,0,0,3.388
1436,Spring 2022,COSC,8398,106,20164,Doctoral Research,Deng,Zhigang,0,0,0,0,0,2,0,0,0,0.0
1524,Spring 2022,MATH,3339,3,16291,Statistics for the Sciences,Labate,Demetrio,10,6,8,7,12,0,0,0,9,1.853
1547,Spring 2022,COSC,8398,103,20161,Doctoral Research,Cheng,Albert M K,0,0,0,0,0,1,0,0,0,0.0
1550,Spring 2022,COSC,4348,1,25880,Intro Game Art and Animation,Yun,Changhoon,90,8,0,0,0,0,0,0,2,3.908
1555,Spring 2022,MATH,2413,51,25609,Calculus I,Caglar,Atife,5,20,14,8,17,0,0,0,11,1.771
1571,Spring 2022,MATH,5344,1,26287,Intro to Scientific Computing,Morgan,Jeffrey,3,1,0,0,0,0,0,0,0,3.833
1602,Spring 2022,MATH,2312,7,14851,Precalculus,May,Jennifer Ruhnow,78,25,18,4,20,0,0,0,42,2.902
1634,Spring 2022,COSC,4397,2,25882,Sel Top-Computer Science,Yun,Changhoon,22,2,0,0,0,0,0,0,3,3.848
1668,Spring 2022,MATH,3330,3,18807,Abstract Algebra,O'Malley,Matthew J,4,7,3,2,5,0,0,0,9,2.19
1713,Spring 2022,MATH,6381,2,26530,Information Visualization,Shastri,Dvijesh J,1,6,0,0,0,0,0,0,0,3.19
1728,Spring 2022,COSC,1437,1,18707,Introduction to Programming,Biediger,Daniel Edward,72,24,16,2,11,0,0,0,26,3.147
1746,Spring 2022,MATH,8698,18,19000,Doctoral Research,Jun,Mikyoung,0,0,0,0,0,3,0,0,0,0.0
1771,Spring 2022,MATH,6359,2,20885,Appl. Stat. & Mult. Analysis,Poliak,Cathy Dawn,16,1,1,0,0,0,0,0,0,3.815
1779,Spring 2022,COSC,3396,2,27810,Senior Research Project,Eick,Christoph F,1,0,0,0,0,0,0,0,0,4.0
1831,Spring 2022,MATH,4377,3,17019,Advanced Linear Algebra I,Ji,Shanyu,6,6,2,5,3,0,0,0,0,2.228
1930,Spring 2022,MATH,2415,1,18588,Calculus III,Weber,Thomas Christian,58,38,39,21,25,0,0,0,54,2.459
1942,Spring 2022,MATH,8398,19,17296,Doctoral Research,Mang,Andreas,0,0,0,0,0,1,0,0,0,0.0
1964,Spring 2022,COSC,8998,126,20246,Doctoral Research,Solorio Martinez,Thamar Ivette,0,0,0,0,0,3,0,0,0,0.0
2023,Spring 2022,MATH,3321,5,24460,Engineering Mathematics,Ryan,John M,20,26,32,11,21,0,0,0,20,2.109
2029,Spring 2022,MATH,1342,3,14853,Elementary Statistical Methods,Caputo,Matthew G,62,73,79,16,23,0,0,0,43,2.464
