,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
1234,Fall 2021,MATH,8698,5,Doctoral Research,Labate,Demetrio,0,0,0,0,0,5,0,0,0,0.0
1239,Fall 2021,COSC,8998,124,Doctoral Research,Shah,Shishir,0,0,0,0,0,3,0,0,0,0.0
1241,Fall 2021,COSC,8398,101,Doctoral Research,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
1267,Fall 2021,MATH,8698,13,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,3,0,0,0,0.0
1296,Fall 2021,MATH,8698,9,Doctoral Research,Climenhaga,Vaughn,0,0,0,0,0,3,0,0,0,0.0
1304,Fall 2021,MATH,2131,2,Linear Alg Labs w/MATLAB,Vu,An Thuy,17,3,3,4,1,0,0,0,11,3.084
1334,Fall 2021,COSC,6320,1,Data Structures & Algorithms,Huang,Shou-Hsuan Stephen,9,11,8,7,1,0,0,0,0,2.519
1344,Fall 2021,COSC,8998,125,Doctoral Research,Shi,Weidong,0,0,0,0,0,2,0,0,0,0.0
1417,Fall 2021,MATH,1332,2,Elem Mathematical Modeling,Weber,Thomas Christian,73,76,35,18,27,0,0,0,15,2.661
1430,Fall 2021,COSC,8998,117,Doctoral Research,Merchant,Fatima Aziz,0,0,0,0,0,3,0,0,0,0.0
1464,Fall 2021,COSC,6398,115,Special Problems,Laszka,Aron,0,0,0,0,0,2,0,0,0,0.0
1489,Fall 2021,MATH,1314,1,College Algebra,Chang,James A,86,59,37,24,43,0,0,0,25,2.458
1632,Fall 2021,COSC,4353,1,Software Design,Subramaniam,Venkat,12,4,1,0,0,0,0,0,2,3.628
1696,Fall 2021,MATH,1342,5,Elementary Statistical Methods,Weber,Thomas Christian,58,69,49,28,42,0,0,0,39,2.269
1704,Fall 2021,MATH,8698,18,Doctoral Research,Perepelitsa,Mikhail Antolyevic,0,0,0,0,0,0,0,1,0,0.0
1708,Fall 2021,MATH,4364,2,Intro to Numerical Analysis,Mamonov,Alexander V,6,14,7,3,4,0,0,0,3,2.431
1721,Fall 2021,MATH,8398,11,Doctoral Research,Jun,Mikyoung,0,0,0,0,0,4,0,0,0,0.0
1749,Fall 2021,COSC,3380,2,Design File and Database Syst,Ordonez,Carlos,6,53,28,1,3,0,0,0,37,2.703
1814,Fall 2021,MATH,8398,19,Doctoral Research,Perepelitsa,Mikhail Antolyevic,0,0,0,0,0,0,0,1,0,0.0
1828,Fall 2021,COSC,8998,106,Doctoral Research,Deng,Zhigang,0,0,0,0,0,2,0,0,0,0.0
1839,Fall 2021,COSC,6321,1,Research Methods in COSC,Gnawali,Omprakash D,0,0,0,0,0,9,0,0,0,0.0
1846,Fall 2021,COSC,6399,107,Masters Thesis,Eick,Christoph F,0,0,0,0,0,1,0,0,0,0.0
1880,Fall 2021,MATH,3330,2,Abstract Algebra,Heier,Gordon,2,5,4,0,4,0,0,0,3,1.935
1950,Fall 2021,MATH,3339,3,Statistics for the Sciences,Papadakis,Emanuel Ioannis,8,1,6,4,9,0,0,0,10,1.786
1954,Fall 2021,COSC,1437,7,Introduction to Programming,Jin,Aobo,14,16,9,4,20,0,0,0,15,1.942
2032,Fall 2021,MATH,3363,2,Introduction To Pde,Fitzgibbon,William E,10,6,6,1,4,0,0,0,6,2.532
2053,Fall 2021,COSC,8698,115,Doctoral Research,Laszka,Aron,0,0,0,0,0,2,0,0,0,0.0
2071,Fall 2021,MATH,4339,2,Multivariate Statistics,Poliak,Cathy Dawn,21,6,0,0,2,0,0,0,0,3.449
2095,Fall 2021,COSC,6342,1,Machine Learning,Vilalta,Ricardo,25,40,0,0,0,0,0,0,2,3.303
2121,Fall 2021,MATH,8698,6,Doctoral Research,Azencott,Robert Guy,0,0,0,0,0,4,0,0,0,0.0
2125,Fall 2021,COSC,8699,103,Doctoral Dissertation,Cheng,Albert M K,0,0,0,0,0,1,0,0,0,0.0
2135,Fall 2021,MATH,6315,1,Masters Tutorial,Poliak,Cathy Dawn,5,1,0,0,0,0,0,0,0,3.888
2163,Fall 2021,MATH,2413,51,Calculus I,Perepelitsa,Irina,62,36,24,16,29,0,0,0,12,2.503
2190,Fall 2021,MATH,1450,1,Accelerated Calculus,Nicol,Matthew J.,9,0,0,0,1,0,0,0,0,3.567
2215,Fall 2021,MATH,2414,11,Calculus II,Almus,Melahat,68,39,30,19,51,0,0,0,47,2.256
2235,Fall 2021,COSC,4393,1,Digital Image Processing,Mantini,Pranav,36,15,1,0,3,0,0,0,4,3.443
2248,Fall 2021,COSC,4398,2,Independent Study,Eick,Christoph F,0,0,0,0,0,1,0,0,0,0.0
