,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
5059,Fall 2021,MATH,8698,16,Doctoral Research,Nicol,Matthew J.,0,0,0,0,0,1,0,0,0,0.0
5061,Fall 2021,COSC,8698,101,Doctoral Research,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
5067,Fall 2021,COSC,8699,126,Doctoral Dissertation,Solorio Martinez,Thamar Ivette,1,0,0,0,0,0,0,0,0,4.0
5088,Fall 2021,MATH,3305,2,Formal & Informal Geometry,Douglas,Casey,13,5,4,1,2,0,0,0,1,2.987
5095,Fall 2021,COSC,8698,114,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,2,0,0,0,0.0
5143,Fall 2021,MATH,8398,20,Doctoral Research,Timofeyev,Ilya,0,0,0,0,0,1,0,0,0,0.0
5164,Fall 2021,MATH,1314,6,College Algebra,Hafeez,Shahinda,55,52,33,26,71,0,0,0,33,1.951
5187,Fall 2021,MATH,3330,1,Abstract Algebra,O'Malley,Matthew J,3,12,9,1,5,0,0,0,8,2.266
5201,Fall 2021,MATH,4377,4,Advanced Linear Algebra I,Kalantar,Mehrdad,6,3,0,0,9,0,0,0,4,1.833
5216,Fall 2021,MATH,6326,1,Partial Diff Equations,Jaramillo,Gabriela T,7,7,0,0,0,0,0,0,0,3.429
5239,Fall 2021,MATH,1324,2,Finite Math with Applications,Hong,Yuqi,36,54,31,21,43,0,0,0,25,2.065
5242,Fall 2021,MATH,1351,1,Introduction to Math Reasoning,Douglas,Casey,57,65,60,26,46,0,0,0,39,2.232
5244,Fall 2021,MATH,1324,6,Finite Math with Applications,Sosa,Moses,133,57,30,11,23,0,0,0,15,3.013
5250,Fall 2021,MATH,3363,1,Introduction To Pde,Glowinski,Roland,14,34,0,0,0,0,0,0,1,3.367
5252,Fall 2021,COSC,2436,9,Programming and Data Structure,Ramamurthy,Uma,13,11,9,2,13,0,0,0,16,2.119
5260,Fall 2021,MATH,6358,3,Probability & Stat. Computing,Poliak,Cathy Dawn,8,5,0,0,0,0,0,0,0,3.514
5280,Fall 2021,MATH,1450,7,Accelerated Calculus,Ott,William R,25,4,3,0,0,0,0,0,0,3.667
5292,Fall 2021,COSC,6358,1,Interactive Game Development,Yun,Changhoon,7,0,0,0,0,0,0,0,0,3.953
5327,Fall 2021,COSC,6376,1,Cloud Computing,Shi,Weidong,61,6,0,0,1,0,0,0,0,3.751
5384,Fall 2021,MATH,4320,1,Intro To Stochastic Processes,Josic,Kresimir,4,10,9,7,2,0,0,0,7,2.188
5387,Fall 2021,MATH,4323,1,Data Science and Stats Learn,Wang,Wenshuang,45,23,3,1,5,0,0,0,2,3.29
5388,Fall 2021,MATH,1324,1,Finite Math with Applications,Sosa,Moses,100,59,28,18,47,0,0,0,42,2.569
5394,Fall 2021,COSC,1437,1,Introduction to Programming,Rincon Castro,Carlos Alberto,29,13,10,7,20,0,0,0,25,2.312
5412,Fall 2021,COSC,6344,1,Visualization,Chen,Guoning,14,14,3,0,0,0,0,0,0,3.365
5471,Fall 2021,MATH,2413,31,Calculus I,Sosa,Moses,96,64,43,21,45,0,0,0,28,2.532
5494,Fall 2021,MATH,8398,10,Doctoral Research,Josic,Kresimir,0,0,0,0,0,3,0,0,0,0.0
5497,Fall 2021,COSC,6306,7,Data Structures,Gabriel,Edgar,1,3,0,0,1,0,0,0,1,2.402
5602,Fall 2021,COSC,8398,125,Doctoral Research,Shi,Weidong,0,0,0,0,0,2,0,0,0,0.0
5612,Fall 2021,COSC,8398,127,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,1,0,0,0,0.0
5620,Fall 2021,MATH,2312,3,Precalculus,May,Jennifer Ruhnow,103,38,23,14,37,0,0,0,47,2.698
5641,Fall 2021,COSC,6324,1,Rndmzd Algo Prob Tchnqs Cmptng,Pandurangan,Gopal,3,3,1,0,0,0,0,0,1,3.286
5657,Fall 2021,MATH,3321,1,Engineering Mathematics,Torok,Andrei S,6,4,8,5,14,0,0,0,14,1.487
5670,Fall 2021,MATH,6302,1,Modern Algebra,Haynes,Alan K,7,5,4,0,0,0,0,0,0,3.229
5684,Fall 2021,COSC,8398,107,Doctoral Research,Eick,Christoph F,0,0,0,0,0,1,0,0,0,0.0
5693,Fall 2021,COSC,2425,1,Computer Org & Architecture,Long,Kevin B,86,14,7,4,11,0,0,0,6,3.311
5712,Fall 2021,MATH,4397,1,Selected Topics in Math,Wood,Lowell T,1,4,3,0,2,0,0,0,3,2.266
5760,Fall 2021,MATH,4366,1,Numerical Linear Algebra,He,Jiwen,13,6,1,0,4,0,0,0,2,2.931
5769,Fall 2021,COSC,8398,118,Doctoral Research,Mukherjee,Arjun,0,0,0,0,0,2,0,0,0,0.0
5770,Fall 2021,COSC,6353,2,Software Design,Alipour,Mohammad Amin,6,16,2,0,0,0,0,0,0,3.222
5811,Fall 2021,COSC,8198,120,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,0,0,0,1,0.0
5837,Fall 2021,MATH,4322,2,Data Science and Machine Learn,Poliak,Cathy Dawn,65,7,3,0,2,0,0,0,2,3.723
5874,Fall 2021,COSC,6345,1,Programming Languages,Subramaniam,Venkat,4,0,2,0,0,0,0,0,1,3.113
5891,Fall 2021,COSC,4358,1,Intro to Interactive Game Dev.,Yun,Changhoon,86,13,2,5,0,0,0,0,1,3.664
5914,Fall 2021,MATH,6360,1,Applicable Analysis,Bodmann,Bernhard G,5,3,2,0,0,0,0,0,0,3.366
5919,Fall 2021,COSC,8998,115,Doctoral Research,Laszka,Aron,0,0,0,0,0,3,0,0,0,0.0
5944,Fall 2021,COSC,6309,1,Intro Automata & Computability,Verma,Rakesh M,3,4,2,0,0,0,0,0,1,2.964
5946,Fall 2021,COSC,8998,112,Doctoral Research,Huang,Shou-Hsuan Stephen,0,0,0,0,0,1,0,0,0,0.0
6032,Fall 2021,MATH,6398,5,Special Problems,Timofeyev,Ilya,0,0,0,0,0,1,0,0,0,0.0
6059,Fall 2021,MATH,1324,4,Finite Math with Applications,Watkins,Katie Nicole,59,53,37,23,70,0,0,0,50,2.004
6145,Fall 2021,COSC,8998,113,Doctoral Research,Johnsson,Lennart,0,0,0,0,0,3,0,0,0,0.0
6158,Fall 2021,MATH,3333,2,Intermediate Analysis,Winkle,James J,7,7,4,0,5,0,0,0,3,2.507
6212,Fall 2021,COSC,8998,131,Doctoral Research,Wu,Panruo,0,0,0,0,0,3,0,0,0,0.0
6287,Fall 2021,COSC,8398,115,Doctoral Research,Laszka,Aron,0,0,0,0,0,3,0,0,0,0.0
6301,Fall 2021,MATH,3311,1,Functions and Modeling,Hafeez,Shahinda,7,7,2,1,1,0,0,0,1,3.0
6330,Fall 2021,MATH,8698,11,Doctoral Research,Mang,Andreas,0,0,0,0,0,3,0,0,0,0.0
6362,Fall 2021,MATH,8698,7,Doctoral Research,Josic,Kresimir,0,0,0,0,0,6,0,0,0,0.0
6367,Fall 2021,COSC,8998,108,Doctoral Research,Gabriel,Edgar,0,0,0,0,0,1,0,0,0,0.0
6411,Fall 2021,COSC,8698,120,Doctoral Research,Pandurangan,Gopal,0,0,0,0,0,1,0,0,0,0.0
6441,Fall 2021,MATH,3321,3,Engineering Mathematics,Caglar,Atife,57,41,35,16,29,0,0,0,34,2.485
6501,Fall 2021,MATH,1342,1,Elementary Statistical Methods,Fu,Wenjiang,22,27,26,18,23,0,0,0,18,2.04
6510,Fall 2021,COSC,4351,1,Fundamentals of Software Engr,Singh,Raj Kumar,80,5,0,0,0,0,0,0,0,3.895
6512,Fall 2021,COSC,4337,1,Data Science II,Rizk,Nouhad J,19,5,5,0,1,0,0,0,3,3.367
6542,Fall 2021,COSC,4397,3,Sel Top-Computer Science,Kakadiaris,Ioannis A.,11,6,1,2,0,0,0,0,5,3.201
6555,Fall 2021,MATH,8698,19,Doctoral Research,Heier,Gordon,0,0,0,0,0,2,0,0,0,0.0
6566,Fall 2021,COSC,8398,128,Doctoral Research,Tsekos,Nikolaos V,0,0,0,0,0,1,0,0,0,0.0
6597,Fall 2021,MATH,6380,2,Programming for Data Analytics,Shastri,Dvijesh J,2,6,4,0,0,0,0,0,0,2.833
6627,Fall 2021,MATH,6308,4,Advanced Linear Algebra I,Kalantar,Mehrdad,6,0,0,0,0,0,0,0,0,3.945
6638,Fall 2021,COSC,8998,128,Doctoral Research,Tsekos,Nikolaos V,0,0,0,0,0,3,0,0,0,0.0
6641,Fall 2021,MATH,6315,6,Masters Tutorial,Morgan,Jeffrey,1,0,0,0,0,0,0,0,0,4.0
6651,Fall 2021,COSC,8698,107,Doctoral Research,Eick,Christoph F,0,0,0,0,0,1,0,0,0,0.0
6655,Fall 2021,MATH,3339,2,Statistics for the Sciences,Ryan,John M,32,21,17,19,18,0,0,0,9,2.265
6669,Fall 2021,MATH,1100,3,Developmental Math,Chang,James A,0,0,0,0,0,22,5,0,7,0.0
6698,Fall 2021,MATH,8398,12,Doctoral Research,Olshanskiy,Maxim Alexandrovich,0,0,0,0,0,1,0,0,0,0.0
6724,Fall 2021,COSC,3320,1,Algorithms and Data Structures,Leiss,Ernst L,25,47,22,2,7,0,0,0,15,2.758
6865,Fall 2021,MATH,2312,2,Precalculus,Perepelitsa,Irina,60,46,25,7,32,0,0,0,27,2.559
6881,Fall 2021,MATH,6397,1,Selected Topics in Math,Jun,Mikyoung,6,2,0,0,0,0,0,0,0,3.75
6935,Fall 2021,MATH,1314,5,College Algebra,Xhabli,Blerina,74,48,35,24,90,0,0,0,53,1.949
6938,Fall 2021,MATH,1300,6,Fundamentals of Mathematics,Chang,James A,0,0,0,0,0,35,39,0,2,0.0
7007,Fall 2021,MATH,2414,1,Calculus II,Xhabli,Blerina,64,39,35,20,50,0,0,0,53,2.196
7058,Fall 2021,MATH,8398,2,Doctoral Research,Climenhaga,Vaughn,0,0,0,0,0,2,0,0,0,0.0
7082,Fall 2021,MATH,1332,1,Elem Mathematical Modeling,Hafeez,Shahinda,26,31,18,17,48,0,0,0,20,1.757
